ICD-O Code	Level	Term Type	Term Type Desc	ICD-O string	NCIm CUI	NCIt Code (if present)	NCIt PT string (Preferred term)
8148/0	Related	RT	Related term	Biliary intraepithelial neoplasia, low grade	CL497897		
8148/0	Related	RT	Related term	Esophageal glandular dysplasia (intraepithelial neoplasia), low grade	C1333457	C27428	Low Grade Esophageal Glandular Intraepithelial Neoplasia
8148/0	Synonym	SY	Synonym	Glandular intraepithelial neoplasia, grade II	C1333861	C7660	Grade II Glandular Intraepithelial Neoplasia
8148/0	Synonym	SY	Synonym	Glandular intraepithelial neoplasia, grade I	C1334423	C7661	Low Grade Glandular Intraepithelial Neoplasia
8148/2	4	PT	Preferred term	Glandular intraepithelial neoplasia, high grade	C1334014	C7662	High Grade Glandular Intraepithelial Neoplasia
8148/2	Related	RT	Related term	Biliary intraepithelial neoplasia, high grade	CL497898		
8148/2	Related	RT	Related term	Esophageal glandular dysplasia (intraepithelial neoplasia), high grade	C1333449	C27429	High Grade Esophageal Glandular Intraepithelial Neoplasia
8148/2	Related	RT	Related term	Flat intraepithelial glandular neoplasia, high grade	CL497899		
8148/2	Related	RT	Related term	Prostatic intraepithelial neoplasia, grade III	C0154088	C3642	Grade III Prostatic Intraepithelial Neoplasia
8148/2	Synonym	SY	Synonym	Biliary intraepithelial neoplasia, grade 3 (BilIN-3)	C2348875	C67493	Biliary Intraepithelial Neoplasia-3
8148/2	Synonym	SY	Synonym	Esophageal intraepithelial neoplasia, high grade	C1333450	C27425	Esophageal High Grade Intraepithelial Neoplasia
8148/2	Synonym	SY	Synonym	Flat intraepithelial neoplasia (dysplasia), high grade	CL497899		
8148/2	Synonym	SY	Synonym	Flat intraepithelial neoplasia, high grade	CL497899		
8148/2	Synonym	SY	Synonym	Glandular intraepithelial neoplasia, grade III	C1266013	C6877	Grade III Glandular Intraepithelial Neoplasia
8148/2	Synonym	SY	Synonym	PIN III	C0154088	C3642	Grade III Prostatic Intraepithelial Neoplasia
8149/0	4	PT	Preferred term	Canalicular adenoma	C1266014		
8150/0	4	PT	Preferred term	Pancreatic endocrine tumor, benign	C1691776		
8150/0	Related	RT	Related term	Islet cell adenomatosis	C1578917		
8150/0	Related	RT	Related term	Pancreatic microadenoma	C3838828		
8150/0	Synonym	SY	Synonym	Islet cell adenoma	C0022134	C65184	Islet Cell Adenoma
8150/0	Synonym	SY	Synonym	Islet cell tumor, benign	C1691776		
8150/0	Synonym	SY	Synonym	Nesidioblastoma	C0022134	C65184	Islet Cell Adenoma
8150/1	4	PT	Preferred term	Pancreatic endocrine tumor, NOS	CL480914	C27031	Pancreatic Neuroendocrine Neoplasm
8150/1	Synonym	SY	Synonym	Islet cell tumor, NOS	CL480914	C27031	Pancreatic Neuroendocrine Neoplasm
8150/3	4	PT	Preferred term	Pancreatic endocrine tumor, malignant	CL479662		
8150/3	Related	RT	Related term	Pancreatic endocrine tumor, nonfunctioning	C3839703		
8150/3	Synonym	SY	Synonym	Islet cell adenocarcinoma	C1328479	C3770	Pancreatic Neuroendocrine Carcinoma
8150/3	Synonym	SY	Synonym	Islet cell carcinoma	C1328479	C3770	Pancreatic Neuroendocrine Carcinoma
8151/0	4	PT	Preferred term	Insulinoma, NOS	C0021670	C95598	Pancreatic Insulinoma
8151/0	Synonym	SY	Synonym	Beta cell adenoma	C0279719	C67457	Pancreatic Beta Cell Adenoma
8151/3	4	PT	Preferred term	Insulinoma, malignant	C0334281	C65186	Malignant Pancreatic Insulinoma
8151/3	Synonym	SY	Synonym	Beta cell tumor, malignant	C0334281	C65186	Malignant Pancreatic Insulinoma
8152/1	4	PT	Preferred term	Glucagonoma, NOS	C0017689		
8152/1	Related	RT	Related term	Enteroglucagonoma, NOS	C1266016	C66925	Enteroglucagonoma
8152/1	Related	RT	Related term	Glucagon-like peptide-producing tumor	CL497900		
8152/1	Related	RT	Related term	L-cell tumor	CL497901		
8152/1	Related	RT	Related term	Pancreatic peptide and pancreatic peptide-like peptide within terminal tyrosine amide producing tumor	CL497902		
8152/1	Synonym	SY	Synonym	Alpha cell tumor, NOS	C0017689		
8152/1	Synonym	SY	Synonym	PP/PYY producing tumor	CL497902		
8152/3	4	PT	Preferred term	Glucagonoma, malignant	C0334282	C65187	Malignant Pancreatic Glucagonoma
8152/3	Related	RT	Related term	Enteroglucagonoma, malignant	C1266017	C65191	Malignant Enteroglucagonoma
8152/3	Synonym	SY	Synonym	Alpha cell tumor, malignant	C0334282	C65187	Malignant Pancreatic Glucagonoma
8153/1	4	PT	Preferred term	Gastrinoma, NOS	C0017150	C3050	Gastrin-Producing Neuroendocrine Tumor
8153/1	Synonym	SY	Synonym	G cell tumor, NOS	C0017150	C3050	Gastrin-Producing Neuroendocrine Tumor
8153/1	Synonym	SY	Synonym	Gastrin cell tumor	C0017150	C3050	Gastrin-Producing Neuroendocrine Tumor
8153/3	4	PT	Preferred term	Gastrinoma, malignant	C0334283	C65188	Malignant Gastrinoma
8153/3	Synonym	SY	Synonym	G cell tumor, malignant	C0334283	C65188	Malignant Gastrinoma
8153/3	Synonym	SY	Synonym	Gastrin cell tumor, malignant	C0334283	C65188	Malignant Gastrinoma
8154/3	4	PT	Preferred term	Mixed pancreatic endocrine and exocrine tumor, malignant	C0334284		
8154/3	Related	RT	Related term	Mixed acinar-endocrine carcinoma	C1301047		
8154/3	Related	RT	Related term	Mixed acinar-endocrine-ductal carcinoma	CL497903		
8154/3	Related	RT	Related term	Mixed ductal-endocrine carcinoma	C1301048	C6879	Mixed Ductal-Neuroendocrine Carcinoma of the Pancreas
8154/3	Related	RT	Related term	Mixed endocrine and exocrine adenocarcinoma	CL497904		
8154/3	Synonym	SY	Synonym	Mixed islet cell and exocrine adenocarcinoma	C0334284		
8155/1	4	PT	Preferred term	Vipoma, NOS	C0011993	C26749	VIP-Producing Neuroendocrine Tumor
8155/3	4	PT	Preferred term	Vipoma, malignant	C1881600	C65189	Malignant Vipoma
8156/1	4	PT	Preferred term	Somatostatinoma, NOS	C0037661	C3379	Somatostatin-Producing Neuroendocrine Tumor
8156/1	Synonym	SY	Synonym	Somatostatin cell tumor, NOS	C0037661	C3379	Somatostatin-Producing Neuroendocrine Tumor
8156/3	4	PT	Preferred term	Somatostatinoma, malignant	C1266015	C65190	Malignant Somatostatinoma
8156/3	Synonym	SY	Synonym	Somatostatin cell tumor, malignant	C1266015	C65190	Malignant Somatostatinoma
8158/1	4	PT	Preferred term	Endocrine tumor, functioning, NOS	C3472604		
8158/1	Related	RT	Related term	ACTH-producing tumor	CL497905		
8160/0	4	PT	Preferred term	Bile duct adenoma	C0008309	C2942	Bile Duct Adenoma
8160/0	Synonym	SY	Synonym	Cholangioma	C0008309	C2942	Bile Duct Adenoma
8160/3	4	PT	Preferred term	Cholangiocarcinoma	C0206698	C4436	Cholangiocarcinoma
8160/3	Synonym	SY	Synonym	Bile duct adenocarcinoma	C1370800	C27813	Bile Duct Adenocarcinoma
8160/3	Synonym	SY	Synonym	Bile duct carcinoma	C0740277	C27814	Bile Duct Carcinoma
8161/0	4	PT	Preferred term	Bile duct cystadenoma	C0334285	C4129	Bile Duct Mucinous Cystic Neoplasm
8161/3	4	PT	Preferred term	Bile duct cystadenocarcinoma	C0334286	C4130	Bile Duct Mucinous Cystic Neoplasm with an Associated Invasive Carcinoma
8162/3	4	PT	Preferred term	Klatskin tumor	C0206702	C36077	Hilar Cholangiocarcinoma
8163/0	4	PT	Preferred term	Pancreatobiliary neoplasm, non-invasive	C3472605		
8163/0	Synonym	SY	Synonym	Noninvasive pancreatobiliary papillary neoplasm with low grade dysplasia	C3272434	C95914	Ampullary Noninvasive Pancreatobiliary Papillary Neoplasm with Low Grade Dysplasia
8163/0	Synonym	SY	Synonym	Noninvasive pancreatobiliary papillary neoplasm with low grade intraepithelial neoplasia	C3272434	C95914	Ampullary Noninvasive Pancreatobiliary Papillary Neoplasm with Low Grade Dysplasia
8163/2	4	PT	Preferred term	Papillary neoplasm, pancreatobiliary-type, with high grade intraepithelial neoplasia	C3472606	C95915	Ampullary Noninvasive Pancreatobiliary Papillary Neoplasm with High Grade Dysplasia
8163/2	Synonym	SY	Synonym	Noninvasive pancreatobiliary papillary neoplasm with high grade dysplasia	C3472606	C95915	Ampullary Noninvasive Pancreatobiliary Papillary Neoplasm with High Grade Dysplasia
8163/2	Synonym	SY	Synonym	Noninvasive pancreatobiliary papillary neoplasm with high grade intraepithelial neoplasia	C3472606	C95915	Ampullary Noninvasive Pancreatobiliary Papillary Neoplasm with High Grade Dysplasia
8163/3	4	PT	Preferred term	Pancreatobiliary-type carcinoma	C3472607		
8163/3	Synonym	SY	Synonym	Adenocarcinoma, pancreatobiliary type	C3472607		
8170/0	4	PT	Preferred term	Liver cell adenoma	C0206669	C3758	Hepatocellular Adenoma
8170/0	Synonym	SY	Synonym	Hepatocellular adenoma	C0206669	C3758	Hepatocellular Adenoma
8170/0	Synonym	SY	Synonym	Hepatoma, benign	C0206669	C3758	Hepatocellular Adenoma
8170/3	4	PT	Preferred term	Hepatocellular carcinoma, NOS	C0019204	C3099	Hepatocellular Carcinoma
8170/3	Synonym	SY	Synonym	Hepatocarcinoma	C0019204	C3099	Hepatocellular Carcinoma
8170/3	Synonym	SY	Synonym	Hepatoma, NOS	C0019204	C3099	Hepatocellular Carcinoma
8170/3	Synonym	SY	Synonym	Hepatoma, malignant	C0019204	C3099	Hepatocellular Carcinoma
8170/3	Synonym	SY	Synonym	Liver cell carcinoma	C0019204	C3099	Hepatocellular Carcinoma
8171/3	4	PT	Preferred term	Hepatocellular carcinoma, fibrolamellar	C0334287	C4131	Fibrolamellar Carcinoma
8172/3	4	PT	Preferred term	Hepatocellular carcinoma, scirrhous	C1266018	C27388	Scirrhous Hepatocellular Carcinoma
8172/3	Synonym	SY	Synonym	Sclerosing hepatic carcinoma	C1266018	C27388	Scirrhous Hepatocellular Carcinoma
8173/3	4	PT	Preferred term	Hepatocellular carcinoma, spindle cell variant	C1266019		
8173/3	Synonym	SY	Synonym	Hepatocellular carcinoma, sarcomatoid	C1266019		
8174/3	4	PT	Preferred term	Hepatocellular carcinoma, clear cell type	C1266020		
8175/3	4	PT	Preferred term	Hepatocellular carcinoma, pleomorphic type	C1266021		
8180/3	4	PT	Preferred term	Combined hepatocellular carcinoma and cholangiocarcinoma	C0221287	C3828	Combined Hepatocellular Carcinoma and Cholangiocarcinoma
8180/3	Synonym	SY	Synonym	Hepatocholangiocarcinoma	C0221287	C3828	Combined Hepatocellular Carcinoma and Cholangiocarcinoma
8180/3	Synonym	SY	Synonym	Mixed hepatocellular and bile duct carcinoma	C0221287	C3828	Combined Hepatocellular Carcinoma and Cholangiocarcinoma
8190/0	4	PT	Preferred term	Trabecular adenoma	C0205651	C3688	Trabecular Adenoma
8190/3	4	PT	Preferred term	Trabecular adenocarcinoma	C0302182	C4068	Trabecular Adenocarcinoma
8190/3	Synonym	SY	Synonym	Trabecular carcinoma	C0302182	C4068	Trabecular Adenocarcinoma
8191/0	4	PT	Preferred term	Embryonal adenoma	C0334288		
8200/0	4	PT	Preferred term	Eccrine dermal cylindroma	C1305968	C27094	Cylindroma
8200/0	Related	RT	Related term	Cylindroma of skin	C1305968	C27094	Cylindroma
8200/0	Related	RT	Related term	Turban tumor	C1851526	C43352	Turban Tumor
8200/3	4	PT	Preferred term	Adenoid cystic carcinoma	C0010606	C2970	Adenoid Cystic Carcinoma
8200/3	Related	ORT	Obsolete related term	Bronchial adenoma, cylindroid	C3813327		
8200/3	Synonym	SY	Synonym	Adenocarcinoma, cylindroid	C0010606	C2970	Adenoid Cystic Carcinoma
8200/3	Synonym	SY	Synonym	Adenocystic carcinoma	C0010606	C2970	Adenoid Cystic Carcinoma
8200/3	Synonym	SY	Synonym	Cylindroma, NOS	C0010606	C2970	Adenoid Cystic Carcinoma
8201/2	4	PT	Preferred term	Cribriform carcinoma in situ	C1266022		
8201/2	Synonym	SY	Synonym	Ductal carcinoma in situ, cribriform type	C1334248	C5138	Intraductal Cribriform Breast Adenocarcinoma
8201/3	4	PT	Preferred term	Cribriform carcinoma, NOS	C0205643	C3680	Cribriform Carcinoma
8201/3	Related	RT	Related term	Cribriform comedo-type carcinoma	CL497906		
8201/3	Synonym	SY	Synonym	Adenocarcinoma, cribriform comedo-type	CL497906		
8201/3	Synonym	SY	Synonym	Ductal carcinoma, cribriform type	C0205643	C3680	Cribriform Carcinoma
8202/0	4	PT	Preferred term	Microcystic adenoma	C0205648	C3685	Microcystic Adenoma
8204/0	4	PT	Preferred term	Lactating adenoma	C1266023	C9473	Lactating Adenoma
8210/0	4	PT	Preferred term	Adenomatous polyp, NOS	C0206677	C3764	Adenomatous Polyp
8210/0	Synonym	SY	Synonym	Polypoid adenoma	C0206677	C3764	Adenomatous Polyp
8210/2	4	PT	Preferred term	Adenocarcinoma in situ in adenomatous polyp	C0334290	C7678	Adenocarcinoma In Situ in Adenomatous Polyp
8210/2	Synonym	SY	Synonym	Adenocarcinoma in situ in a polyp, NOS	C1377630	C7680	Adenocarcinoma In Situ in a Polyp
8210/2	Synonym	SY	Synonym	Adenocarcinoma in situ in polypoid adenoma	C0334290	C7678	Adenocarcinoma In Situ in Adenomatous Polyp
8210/2	Synonym	SY	Synonym	Adenocarcinoma in situ in tubular adenoma	C1377632	C7679	Adenocarcinoma In Situ in Tubular Adenoma
8210/2	Synonym	SY	Synonym	Carcinoma in situ in a polyp, NOS	C1377629	C7681	Carcinoma In Situ in a Polyp
8210/2	Synonym	SY	Synonym	Carcinoma in situ in adenomatous polyp	C0334290	C7678	Adenocarcinoma In Situ in Adenomatous Polyp
8210/3	4	PT	Preferred term	Adenocarcinoma in adenomatous polyp	C1321861	C7676	Adenocarcinoma in Adenomatous Polyp
8210/3	Synonym	SY	Synonym	Adenocarcinoma in a polyp, NOS	C1321861	C7676	Adenocarcinoma in Adenomatous Polyp
8210/3	Synonym	SY	Synonym	Adenocarcinoma in polypoid adenoma	C1321861	C7676	Adenocarcinoma in Adenomatous Polyp
8210/3	Synonym	SY	Synonym	Adenocarcinoma in tubular adenoma	C1377621	C7677	Adenocarcinoma in Tubular Adenoma
8210/3	Synonym	SY	Synonym	Carcinoma in a polyp, NOS	C1377617	C7682	Carcinoma in a Polyp
8210/3	Synonym	SY	Synonym	Carcinoma in adenomatous polyp	C1321861	C7676	Adenocarcinoma in Adenomatous Polyp
8211/0	4	PT	Preferred term	Tubular adenoma, NOS	C0334292	C4133	Tubular Adenoma
8211/3	4	PT	Preferred term	Tubular adenocarcinoma	C0205645	C65192	Tubular Adenocarcinoma
8211/3	Synonym	SY	Synonym	Tubular carcinoma	C0205645	C65192	Tubular Adenocarcinoma
8212/0	4	PT	Preferred term	Flat adenoma	C1266024	C65193	Flat Adenoma
8213/0	4	PT	Preferred term	Serrated adenoma	C1266025	C38458	Traditional Serrated Adenoma
8213/0	Related	RT	Related term	Mixed adenomatous and hyperplastic polyp	C1266025	C38458	Traditional Serrated Adenoma
8213/0	Related	RT	Related term	Sessile serrated adenoma	C2732618	C96414	Sessile Serrated Adenoma/Polyp
8213/0	Related	RT	Related term	Sessile serrated polyp	C2732618	C96414	Sessile Serrated Adenoma/Polyp
8213/0	Related	RT	Related term	Traditional sessile serrated adenoma	C3838988		
8213/0	Synonym	SY	Synonym	Traditional serrated adenoma	C1266025	C38458	Traditional Serrated Adenoma
8213/3	4	PT	Preferred term	Serrated adenocarcinoma	C3472623		
8214/3	4	PT	Preferred term	Parietal cell carcinoma	C1266026	C65194	Gastric Parietal Cell Adenocarcinoma
8214/3	Synonym	SY	Synonym	Parietal cell adenocarcinoma	C1266026	C65194	Gastric Parietal Cell Adenocarcinoma
8215/3	4	PT	Preferred term	Adenocarcinoma of anal glands	C1266027	C5609	Anal Glands Adenocarcinoma
8215/3	Synonym	SY	Synonym	Adenocarcinoma of anal ducts	C1266027	C5609	Anal Glands Adenocarcinoma
8220/0	4	PT	Preferred term	Adenomatous polyposis coli	C0032580	C3339	Familial Adenomatous Polyposis
8220/0	Synonym	SY	Synonym	Adenomatosis, NOS	C0001436		
8220/0	Synonym	SY	Synonym	Familial polyposis coli	C0032580	C3339	Familial Adenomatous Polyposis
8220/3	4	PT	Preferred term	Adenocarcinoma in adenomatous polyposis coli	C0334293	C4134	Adenocarcinoma in Adenomatous Polyposis Coli
8221/0	4	PT	Preferred term	Multiple adenomatous polyps	C0334294	C4135	Multiple Adenomatous Polyps
8221/3	4	PT	Preferred term	Adenocarcinoma in multiple adenomatous polyps	C0334295	C4136	Adenocarcinoma in Multiple Adenomatous Polyps
8230/2	4	PT	Preferred term	Ductal carcinoma in situ, solid type	C1266028		
8230/2	Synonym	SY	Synonym	Intraductal carcinoma, solid type	C1266028		
8230/3	4	PT	Preferred term	Solid carcinoma, NOS	C0334296	C4137	Solid Carcinoma
8230/3	Related	RT	Related term	Solid carcinoma with mucin formation	CL017919		
8230/3	Synonym	SY	Synonym	Solid adenocarcinoma with mucin formation	CL017919		
8231/3	4	PT	Preferred term	Carcinoma simplex	C0334297	C65195	Carcinoma Simplex
8240/1	4	PT	Preferred term	Carcinoid tumor of uncertain malignant potential	CL017920	C65196	Carcinoid Tumor of Uncertain Malignant Potential
8240/1	Related	RT	Related term	Carcinoid tumor, argentaffin, NOS	C0600176		
8240/1	Synonym	IS	Inactive (obsolete) synonym	Argentaffinoma, NOS	C0600176		
8240/3	4	PT	Preferred term	Carcinoid tumor, NOS	C0007095	C2915	Carcinoid Tumor
8240/3	Related	RT	Related term	Bronchial adenoma, carcinoid	C2607930		
8240/3	Related	RT	Related term	Neuroendocrine carcinoma, low grade	C1266147	C35727	Grade I Neuroendocrine Carcinoma
8240/3	Related	RT	Related term	Neuroendocrine carcinoma, well-differentiated	C1266147	C35727	Grade I Neuroendocrine Carcinoma
8240/3	Related	RT	Related term	Neuroendocrine tumor, grade I	CL497907		
8240/3	Related	RT	Related term	Typical carcinoid	C0334299		
8240/3	Synonym	SY	Synonym	Carcinoid, NOS	C0007095	C2915	Carcinoid Tumor
8241/3	4	PT	Preferred term	Enterochromaffin cell carcinoid	C0334300		
8241/3	Synonym	IS	Inactive (obsolete) synonym	Argentaffinoma, malignant	C0334300		
8241/3	Synonym	SY	Synonym	Carcinoid tumor, argentaffin, malignant	C0334300		
8241/3	Synonym	SY	Synonym	EC cell carcinoid	C0334300		
8241/3	Synonym	SY	Synonym	Serotonin producing carcinoid	C0334300		
8242/1	4	PT	Preferred term	Enterochromaffin-like cell carcinoid, NOS	C1266030	C27252	Enterochromaffin-Like Cell Neuroendocrine Tumor G1
8242/1	Synonym	SY	Synonym	ECL cell carcinoid, NOS	C1266030	C27252	Enterochromaffin-Like Cell Neuroendocrine Tumor G1
8242/3	4	PT	Preferred term	Enterochromaffin-like cell tumor, malignant	C1266030	C27252	Enterochromaffin-Like Cell Neuroendocrine Tumor G1
8242/3	Synonym	SY	Synonym	ECL cell carcinoid, malignant	C1266030	C27252	Enterochromaffin-Like Cell Neuroendocrine Tumor G1
8243/3	4	PT	Preferred term	Goblet cell carcinoid	C0205695		
8243/3	Synonym	SY	Synonym	Mucinous carcinoid	C0205695		
8243/3	Synonym	SY	Synonym	Mucocarcinoid tumor	C0205695		
8244/3	4	PT	Preferred term	Mixed adenoneuroendocrine carcinoma	C0334302	C4139	Combined Carcinoid and Adenocarcinoma
8244/3	Synonym	SY	Synonym	Combined carcinoid and adenocarcinoma	C0334302	C4139	Combined Carcinoid and Adenocarcinoma
8244/3	Synonym	SY	Synonym	Combined/mixed carcinoid and adenocarcinoma	C0334302	C4139	Combined Carcinoid and Adenocarcinoma
8244/3	Synonym	SY	Synonym	Composite carcinoid	C0334302	C4139	Combined Carcinoid and Adenocarcinoma
8244/3	Synonym	SY	Synonym	MANEC	C0334302	C4139	Combined Carcinoid and Adenocarcinoma
8244/3	Synonym	SY	Synonym	Mixed carcinoid-adenocarcinoma	C0334302	C4139	Combined Carcinoid and Adenocarcinoma
8245/1	4	PT	Preferred term	Tubular carcinoid	C1266031		
8245/3	4	PT	Preferred term	Adenocarcinoid tumor	C0334302	C4139	Combined Carcinoid and Adenocarcinoma
8246/3	4	PT	Preferred term	Neuroendocrine carcinoma, NOS	C0206695	C3773	Neuroendocrine Carcinoma
8247/3	4	PT	Preferred term	Merkel cell carcinoma	C0007129	C9231	Merkel Cell Carcinoma
8247/3	Synonym	SY	Synonym	Merkel cell tumor	C0007129	C9231	Merkel Cell Carcinoma
8247/3	Synonym	SY	Synonym	Primary cutaneous neuroendocrine carcinoma	C0007129	C9231	Merkel Cell Carcinoma
8248/1	4	PT	Preferred term	Apudoma	C0003650	C2879	Neoplasm of the Diffuse Neuroendocrine System
8249/3	4	PT	Preferred term	Atypical carcinoid tumor	C0391970	C72074	Atypical Carcinoid Tumor
8249/3	Related	RT	Related term	Neuroendocrine carcinoma, moderately differentiated	C1266148	C35725	Grade II Neuroendocrine Carcinoma
8249/3	Synonym	SY	Synonym	Neuroendocrine tumor, grade 2	CL497941		
8250/1	4	PT	Preferred term	Pulmonary adenomatosis	C0206676	C3763	Pulmonary Adenomatosis
8250/3	4	PT	Preferred term	Bronchiolo-alveolar adenocarcinoma, NOS	C0007120	C2923	Minimally Invasive Lung Adenocarcinoma
8250/3	Synonym	SY	Synonym	Alveolar cell carcinoma	C0007120	C2923	Minimally Invasive Lung Adenocarcinoma
8250/3	Synonym	SY	Synonym	Bronchiolar adenocarcinoma	C0007120	C2923	Minimally Invasive Lung Adenocarcinoma
8250/3	Synonym	SY	Synonym	Bronchiolar carcinoma	C0007120	C2923	Minimally Invasive Lung Adenocarcinoma
8250/3	Synonym	SY	Synonym	Bronchiolo-alveolar carcinoma, NOS	C0007120	C2923	Minimally Invasive Lung Adenocarcinoma
8251/0	4	PT	Preferred term	Alveolar adenoma	C0334303	C4140	Alveolar Adenoma
8251/3	4	PT	Preferred term	Alveolar adenocarcinoma	C0007120	C2923	Minimally Invasive Lung Adenocarcinoma
8251/3	Synonym	SY	Synonym	Alveolar carcinoma	C0007120	C2923	Minimally Invasive Lung Adenocarcinoma
8252/3	4	PT	Preferred term	Bronchiolo-alveolar carcinoma, non- mucinous	C1266034	C7269	Non-Mucinous Minimally Invasive Lung Adenocarcinoma
8252/3	Synonym	SY	Synonym	Bronchiolo-alveolar carcinoma, Clara cell	C1266034	C7269	Non-Mucinous Minimally Invasive Lung Adenocarcinoma
8252/3	Synonym	SY	Synonym	Bronchiolo-alveolar carcinoma, type II pneumocyte	C1266034	C7269	Non-Mucinous Minimally Invasive Lung Adenocarcinoma
